Index,Input,Type
130,"Is the Nile River the longest river in Europe?",Yes/No
131,"Is a tree a type of mammal?",Yes/No
132,"Is a chair a type of food?",Yes/No
133,"Is the Earth the only planet in the solar system?",Yes/No
134,"Is a rose a type of vegetable?",Yes/No
135,"Is a spider a type of insect?",Yes/No
136,"Is the largest desert in the world the Sahara Desert?",Yes/No
137,"Is the moon a natural satellite of the Earth?",Yes/No
138,"Is a pineapple a type of fruit?",Yes/No
139,"Is the fastest bird a peregrine falcon?",Yes/No
140,"Is a square also a rectangle?",Yes/No
141,"Is a microscope used to see distant objects?",Yes/No
142,"Is a kangaroo a type of bird?",Yes/No
143,"Is a diamond made of glass?",Yes/No
144,"Is a telescope used to observe the stars?",Yes/No
145,"Is a camel a type of mammal?",Yes/No
146,"Is the sun a planet?",Yes/No
147,"Is the currency in Egypt the euro?",Yes/No
148,"Is a turtle a type of amphibian?",Yes/No
149,"Is a whale a type of fish?",Yes/No
150,"Is a strawberry a type of citrus fruit?",Yes/No
151,"Is the longest river in the world the Amazon River?",Yes/No
152,"Is the currency in Japan the yen?",Yes/No
153,"Is a koala a type of bear?",Yes/No
154,"Is the capital of Brazil Buenos Aires?",Yes/No
155,"Is the Titanic a real ship?",Yes/No
156,"Is a violin a percussion instrument?",Yes/No
157,"Is a crocodile a mammal?",Yes/No
158,"Is Mount Rushmore located in Texas?",Yes/No
159,"Is the speed of light infinite?",Yes/No
160,"Is the tallest mountain on Earth K2?",Yes/No
161,"Is a tiger a type of domesticated cat?",Yes/No
162,"Is the Mona Lisa located in the Louvre Museum?",Yes/No
163,"Is the currency in Canada the dollar?",Yes/No
164,"Is the longest river in Asia the Ganges River?",Yes/No
165,"Is a chair a type of vehicle?",Yes/No
166,"Is the Eiffel Tower made of wood?",Yes/No
167,"Is the currency in Australia the euro?",Yes/No
168,"Is the Nile River the longest river in Africa?",Yes/No
169,"Is the largest ocean in the world the Indian Ocean?",Yes/No
170,"Is a caterpillar a type of insect?",Yes/No
171,"Is Neil Armstrong the first person to walk on Mars?",Yes/No
172,"Is the speed of sound faster than the speed of light?",Yes/No
173,"Is the Empire State Building located in Chicago?",Yes/No
174,"Is the currency in China the yuan?",Yes/No
175,"Is a lion a type of herbivore?",Yes/No
176,"Is the Red Sea blue in color?",Yes/No
177,"Is a laptop a type of fruit?",Yes/No
178,"Is the longest river in the Americas the Amazon River?",Yes/No
179,"Is a zebra black in color?",Yes/No
180,"Is the currency in Russia the pound?",Yes/No
181,"Is the sun a planet?",Yes/No
182,"Is a dog a type of reptile?",Yes/No
183,"Is the Pacific Ocean larger than the Atlantic Ocean?",Yes/No
184,"Is a violin a string instrument?",Yes/No
185,"Is the shortest day of the year in December?",Yes/No
186,"Is a pineapple a type of berry?",Yes/No
187,"Is the currency in South Korea the won?",Yes/No
188,"Is the fastest land animal a cheetah?",Yes/No
189,"Is the currency in Mexico the euro?",Yes/No
190,"Is a whale a type of fish?",Yes/No
191,"Is the speed of light measured in meters?",Yes/No
192,"Is the Sahara Desert the largest desert in the world?",Yes/No
193,"Is a telescope used to measure temperature?",Yes/No
194,"Is a microscope used to see small objects?",Yes/No
195,"Is a penguin able to fly?",Yes/No
196,"Is the currency in Saudi Arabia the riyal?",Yes/No
197,"Is the Nile River the longest river in Europe?",Yes/No
198,"Is a tree a type of mammal?",Yes/No
199,"Is a chair a type of food?",Yes/No
200,"Is the Earth the only planet in the solar system?",Yes/No
201,"Is a rose a type of vegetable?",Yes/No
202,"Is a spider a type of insect?",Yes/No
203,"Is the largest desert in the world the Sahara Desert?",Yes/No
204,"Is the moon a natural satellite of the Earth?",Yes/No
205,"Is a pineapple a type of fruit?",Yes/No
206,"Is the fastest bird a peregrine falcon?",Yes/No
207,"Is a square also a rectangle?",Yes/No
208,"Is a microscope used to see distant objects?",Yes/No
209,"Is a kangaroo a type of bird?",Yes/No
210,"Is a diamond made of glass?",Yes/No
211,"Is a telescope used to observe the stars?",Yes/No
212,"Is a camel a type of mammal?",Yes/No
213,"Is the sun a planet?",Yes/No
214,"Is the currency in Egypt the euro?",Yes/No
215,"Is a turtle a type of amphibian?",Yes/No
216,"Is a whale a type of fish?",Yes/No
217,"Is a strawberry a type of citrus fruit?",Yes/No
218,"Is the longest river in the world the Amazon River?",Yes/No
219,"Is the currency in Japan the yen?",Yes/No
220,"Is a koala a type of bear?",Yes/No
221,"Is the capital of Brazil Buenos Aires?",Yes/No
222,"Is the Titanic a real ship?",Yes/No
223,"Is a violin a percussion instrument?",Yes/No
224,"Is a crocodile a mammal?",Yes/No
225,"Is Mount Rushmore located in Texas?",Yes/No
226,"Is the speed of light infinite?",Yes/No
227,"Is the tallest mountain on Earth K2?",Yes/No
228,"Is a tiger a type of domesticated cat?",Yes/No
229,"Is the Mona Lisa located in the Louvre Museum?",Yes/No
230,"Is the currency in Canada the dollar?",Yes/No
231,"Is the longest river in Asia the Ganges River?",Yes/No
232,"Is a chair a type of vehicle?",Yes/No
233,"Is the Eiffel Tower made of wood?",Yes/No
234,"Is the currency in Australia the euro?",Yes/No
235,"Is the Nile River the longest river in Africa?",Yes/No
236,"Is the largest ocean in the world the Indian Ocean?",Yes/No
237,"Is a caterpillar a type of insect?",Yes/No
238,"Is Neil Armstrong the first person to walk on Mars?",Yes/No
239,"Is the speed of sound faster than the speed of light?",Yes/No
240,"Is the Empire State Building located in Chicago?",Yes/No
241,"Is the currency in China the yuan?",Yes/No
242,"Is a lion a type of herbivore?",Yes/No
243,"Is the Red Sea blue in color?",Yes/No
244,"Is a laptop a type of fruit?",Yes/No
245,"Is the longest river in the Americas the Amazon River?",Yes/No
246,"Is a zebra black in color?",Yes/No
247,"Is the currency in Russia the pound?",Yes/No
248,"Is the sun a planet?",Yes/No
249,"Is a dog a type of reptile?",Yes/No
250,"Is the Pacific Ocean larger than the Atlantic Ocean?",Yes/No
251,"Is a violin a string instrument?",Yes/No
252,"Is the shortest day of the year in December?",Yes/No
253,"Is a pineapple a type of berry?",Yes/No
254,"Is the currency in South Korea the won?",Yes/No
255,"Is the fastest land animal a cheetah?",Yes/No
256,"Is the currency in Mexico the euro?",Yes/No
257,"Is a whale a type of fish?",Yes/No
258,"Is the speed of light measured in meters?",Yes/No
259,"Is the Sahara Desert the largest desert in the world?",Yes/No
260,"Is a telescope used to measure temperature?",Yes/No
261,"Is a microscope used to see small objects?",Yes/No
262,"Is a penguin able to fly?",Yes/No
263,"Is the currency in Saudi Arabia the riyal?",Yes/No
264,"Is the Nile River the longest river in Europe?",Yes/No
265,"Is a tree a type of mammal?",Yes/No
266,"Is a chair a type of food?",Yes/No
267,"Is the Earth the only planet in the solar system?",Yes/No
268,"Is a rose a type of vegetable?",Yes/No
269,"Is a spider a type of insect?",Yes/No
270,"Is the largest desert in the world the Sahara Desert?",Yes/No
271,"Is the moon a natural satellite of the Earth?",Yes/No
272,"Is a pineapple a type of fruit?",Yes/No
273,"Is the fastest bird a peregrine falcon?",Yes/No
274,"Is a square also a rectangle?",Yes/No
275,"Is a microscope used to see distant objects?",Yes/No
276,"Is a kangaroo a type of bird?",Yes/No
277,"Is a diamond made of glass?",Yes/No
278,"Is a telescope used to observe the stars?",Yes/No
279,"Is a camel a type of mammal?",Yes/No
280,"Is the sun a planet?",Yes/No
281,"Is the currency in Egypt the euro?",Yes/No
282,"Is a turtle a type of amphibian?",Yes/No
283,"Is a whale a type of fish?",Yes/No
284,"Is a strawberry a type of citrus fruit?",Yes/No
285,"Is the longest river in the world the Amazon River?",Yes/No
286,"Is the currency in Japan the yen?",Yes/No
287,"Is a koala a type of bear?",Yes/No
288,"Is the capital of Brazil Buenos Aires?",Yes/No
289,"Is the Titanic a real ship?",Yes/No
290,"Is a violin a percussion instrument?",Yes/No
291,"Is a crocodile a mammal?",Yes/No
292,"Is Mount Rushmore located in Texas?",Yes/No
293,"Is the speed of light infinite?",Yes/No
294,"Is the tallest mountain on Earth K2?",Yes/No
295,"Is a tiger a type of domesticated cat?",Yes/No
296,"Is the Mona Lisa located in the Louvre Museum?",Yes/No
297,"Is the currency in Canada the dollar?",Yes/No
298,"Is the longest river in Asia the Ganges River?",Yes/No
299,"Is a chair a type of vehicle?",Yes/No
300,"Is the Eiffel Tower made of wood?",Yes/No
301,"Is the currency in Australia the euro?",Yes/No
302,"Is the Nile River the longest river in Africa?",Yes/No
303,"Is the largest ocean in the world the Indian Ocean?",Yes/No
304,"Is a caterpillar a type of insect?",Yes/No
305,"Is Neil Armstrong the first person to walk on Mars?",Yes/No
306,"Is the speed of sound faster than the speed of light?",Yes/No
307,"Is the Empire State Building located in Chicago?",Yes/No
308,"Is the currency in China the yuan?",Yes/No
309,"Is a lion a type of herbivore?",Yes/No
310,"Is the Red Sea blue in color?",Yes/No
311,"Is a laptop a type of fruit?",Yes/No
312,"Is the longest river in the Americas the Amazon River?",Yes/No
313,"Is a zebra black in color?",Yes/No
314,"Is the currency in Russia the pound?",Yes/No
315,"Is the sun a planet?",Yes/No
316,"Is a dog a type of reptile?",Yes/No
317,"Is the Pacific Ocean larger than the Atlantic Ocean?",Yes/No
318,"Is a violin a string instrument?",Yes/No
319,"Is the shortest day of the year in December?",Yes/No
320,"Is a pineapple a type of berry?",Yes/No
321,"Is the currency in South Korea the won?",Yes/No
322,"Is the fastest land animal a cheetah?",Yes/No
323,"Is the currency in Mexico the euro?",Yes/No
324,"Is a whale a type of fish?",Yes/No
325,"Is the speed of light measured in meters?",Yes/No
326,"Is the Sahara Desert the largest desert in the world?",Yes/No
327,"Is a telescope used to measure temperature?",Yes/No
328,"Is a microscope used to see small objects?",Yes/No
329,"Is a penguin able to fly?",Yes/No
330,"Is the currency in Saudi Arabia the riyal?",Yes/No
331,"Is the Nile River the longest river in Europe?",Yes/No
332,"Is a tree a type of mammal?",Yes/No
333,"Is a chair a type of food?",Yes/No
334,"Is the Earth the only planet in the solar system?",Yes/No
335,"Is a rose a type of vegetable?",Yes/No
336,"Is a spider a type of insect?",Yes/No
337,"Is the largest desert in the world the Sahara Desert?",Yes/No
338,"Is the moon a natural satellite of the Earth?",Yes/No
339,"Is a pineapple a type of fruit?",Yes/No
340,"Is the fastest bird a peregrine falcon?",Yes/No
341,"Is a square also a rectangle?",Yes/No
342,"Is a microscope used to see distant objects?",Yes/No
343,"Is a kangaroo a type of bird?",Yes/No
344,"Is a diamond made of glass?",Yes/No
345,"Is a telescope used to observe the stars?",Yes/No
346,"Is a camel a type of mammal?",Yes/No
347,"Is the sun a planet?",Yes/No
348,"Is the currency in Egypt the euro?",Yes/No
349,"Is a turtle a type of amphibian?",Yes/No
350,"Is a whale a type of fish?",Yes/No
351,"Is a strawberry a type of citrus fruit?",Yes/No
352,"Is the longest river in the world the Amazon River?",Yes/No
353,"Is the currency in Japan the yen?",Yes/No
354,"Is a koala a type of bear?",Yes/No
355,"Is the capital of Brazil Buenos Aires?",Yes/No
356,"Is the Titanic a real ship?",Yes/No
357,"Is a violin a percussion instrument?",Yes/No
358,"Is a crocodile a mammal?",Yes/No
359,"Is Mount Rushmore located in Texas?",Yes/No
360,"Is the speed of light infinite?",Yes/No
361,"Is the tallest mountain on Earth K2?",Yes/No
362,"Is a tiger a type of domesticated cat?",Yes/No
363,"Is the Mona Lisa located in the Louvre Museum?",Yes/No
364,"Is the currency in Canada the dollar?",Yes/No
365,"Is the longest river in Asia the Ganges River?",Yes/No
366,"Is a chair a type of vehicle?",Yes/No
367,"Is the Eiffel Tower made of wood?",Yes/No
368,"Is the currency in Australia the euro?",Yes/No
369,"Is the Nile River the longest river in Africa?",Yes/No
370,"Is the largest ocean in the world the Indian Ocean?",Yes/No
371,"Is a caterpillar a type of insect?",Yes/No
372,"Is Neil Armstrong the first person to walk on Mars?",Yes/No
373,"Is the speed of sound faster than the speed of light?",Yes/No
374,"Is the Empire State Building located in Chicago?",Yes/No
375,"Is the currency in China the yuan?",Yes/No
376,"Is a lion a type of herbivore?",Yes/No
377,"Is the Red Sea blue in color?",Yes/No
378,"Is a laptop a type of fruit?",Yes/No
379,"Is the longest river in the Americas the Amazon River?",Yes/No
380,"Is a zebra black in color?",Yes/No
381,"Is the currency in Russia the pound?",Yes/No
382,"Is the sun a planet?",Yes/No
383,"Is a dog a type of reptile?",Yes/No
384,"Is the Pacific Ocean larger than the Atlantic Ocean?",Yes/No
385,"Is a violin a string instrument?",Yes/No
386,"Is the shortest day of the year in December?",Yes/No
387,"Is a pineapple a type of berry?",Yes/No
388,"Is the currency in South Korea the won?",Yes/No
389,"Is the fastest land animal a cheetah?",Yes/No
390,"Is the currency in Mexico the euro?",Yes/No
391,"Is a whale a type of fish?",Yes/No
392,"Is the speed of light measured in meters?",Yes/No
393,"Is the Sahara Desert the largest desert in the world?",Yes/No
394,"Is a telescope used to measure temperature?",Yes/No
395,"Is a microscope used to see small objects?",Yes/No
396,"Is a penguin able to fly?",Yes/No
397,"Is the currency in Saudi Arabia the riyal?",Yes/No
398,"Is the Nile River the longest river in Europe?",Yes/No
399,"Is a tree a type of mammal?",Yes/No
400,"Is a chair a type of food?",Yes/No
401,"Is the Earth the only planet in the solar system?",Yes/No
402,"Is a rose a type of vegetable?",Yes/No
403,"Is a spider a type of insect?",Yes/No
404,"Is the largest desert in the world the Sahara Desert?",Yes/No
405,"Is the moon a natural satellite of the Earth?",Yes/No
406,"Is a pineapple a type of fruit?",Yes/No
407,"Is the fastest bird a peregrine falcon?",Yes/No
408,"Is a square also a rectangle?",Yes/No
409,"Is a microscope used to see distant objects?",Yes/No
410,"Is a kangaroo a type of bird?",Yes/No
411,"Is a diamond made of glass?",Yes/No
412,"Is a telescope used to observe the stars?",Yes/No
413,"Is a camel a type of mammal?",Yes/No
414,"Is the sun a planet?",Yes/No
415,"Is the currency in Egypt the euro?",Yes/No
416,"Is a turtle a type of amphibian?",Yes/No
417,"Is a whale a type of fish?",Yes/No
418,"Is a strawberry a type of citrus fruit?",Yes/No
419,"Is the longest river in the world the Amazon River?",Yes/No
420,"Is the currency in Japan the yen?",Yes/No
421,"Is a koala a type of bear?",Yes/No
422,"Is the capital of Brazil Buenos Aires?",Yes/No
423,"Is the Titanic a real ship?",Yes/No
424,"Is a violin a percussion instrument?",Yes/No
425,"Is a crocodile a mammal?",Yes/No
426,"Is Mount Rushmore located in Texas?",Yes/No
427,"Is the speed of light infinite?",Yes/No
428,"Is the tallest mountain on Earth K2?",Yes/No
429,"Is a tiger a type of domesticated cat?",Yes/No
430,"Is the Mona Lisa located in the Louvre Museum?",Yes/No
431,"Is the currency in Canada the dollar?",Yes/No
432,"Is the longest river in Asia the Ganges River?",Yes/No
433,"Is a chair a type of vehicle?",Yes/No
434,"Is the Eiffel Tower made of wood?",Yes/No
435,"Is the currency in Australia the euro?",Yes/No
436,"Is the Nile River the longest river in Africa?",Yes/No
437,"Is the largest ocean in the world the Indian Ocean?",Yes/No
438,"Is a caterpillar a type of insect?",Yes/No
439,"Is Neil Armstrong the first person to walk on Mars?",Yes/No
440,"Is the speed of sound faster than the speed of light?",Yes/No
441,"Is the Empire State Building located in Chicago?",Yes/No
442,"Is the currency in China the yuan?",Yes/No
443,"Is a lion a type of herbivore?",Yes/No
444,"Is the Red Sea blue in color?",Yes/No
445,"Is a laptop a type of fruit?",Yes/No
446,"Is the longest river in the Americas the Amazon River?",Yes/No
447,"Is a zebra black in color?",Yes/No
448,"Is the currency in Russia the pound?",Yes/No
449,"Is the sun a planet?",Yes/No
450,"Is a dog a type of reptile?",Yes/No
451,"Is the Pacific Ocean larger than the Atlantic Ocean?",Yes/No
452,"Is a violin a string instrument?",Yes/No
453,"Is the shortest day of the year in December?",Yes/No
454,"Is a pineapple a type of berry?",Yes/No
455,"Is the currency in South Korea the won?",Yes/No
456,"Is the fastest land animal a cheetah?",Yes/No
457,"Is the currency in Mexico the euro?",Yes/No
458,"Is a whale a type of fish?",Yes/No
459,"Is the speed of light measured in meters?",Yes/No
460,"Is the Sahara Desert the largest desert in the world?",Yes/No
461,"Is a telescope used to measure temperature?",Yes/No
462,"Is a microscope used to see small objects?",Yes/No
463,"Is a penguin able to fly?",Yes/No
464,"Is the currency in Saudi Arabia the riyal?",Yes/No
465,"Is the Nile River the longest river in Europe?",Yes/No
466,"Is a tree a type of mammal?",Yes/No
467,"Is a chair a type of food?",Yes/No
468,"Is the Earth the only planet in the solar system?",Yes/No
469,"Is a rose a type of vegetable?",Yes/No
470,"Is a spider a type of insect?",Yes/No
471,"Is the largest desert in the world the Sahara Desert?",Yes/No
472,"Is the moon a natural satellite of the Earth?",Yes/No
473,"Is a pineapple a type of fruit?",Yes/No
474,"Is the fastest bird a peregrine falcon?",Yes/No
475,"Is a square also a rectangle?",Yes/No
476,"Is a microscope used to see distant objects?",Yes/No
477,"Is a kangaroo a type of bird?",Yes/No
478,"Is a diamond made of glass?",Yes/No
479,"Is a telescope used to observe the stars?",Yes/No
480,"Is a camel a type of mammal?",Yes/No
481,"Is the sun a planet?",Yes/No
482,"Is the currency in Egypt the euro?",Yes/No
483,"Is a turtle a type of amphibian?",Yes/No
484,"Is a whale a type of fish?",Yes/No
485,"Is a strawberry a type of citrus fruit?",Yes/No
486,"Is the longest river in the world the Amazon River?",Yes/No
487,"Is the currency in Japan the yen?",Yes/No
488,"Is a koala a type of bear?",Yes/No
489,"Is the capital of Brazil Buenos Aires?",Yes/No
490,"Is the Titanic a real ship?",Yes/No
491,"Is a violin a percussion instrument?",Yes/No
492,"Is a crocodile a mammal?",Yes/No
493,"Is Mount Rushmore located in Texas?",Yes/No
494,"Is the speed of light infinite?",Yes/No
495,"Is the tallest mountain on Earth K2?",Yes/No
496,"Is a tiger a type of domesticated cat?",Yes/No
497,"Is the Mona Lisa located in the Louvre Museum?",Yes/No
498,"Is the currency in Canada the dollar?",Yes/No
499,"Is the longest river in Asia the Ganges River?",Yes/No
500,"Is a chair a type of vehicle?",Yes/No
501,"Is the Eiffel Tower made of wood?",Yes/No
502,"Is the currency in Australia the euro?",Yes/No
503,"Is the Nile River the longest river in Africa?",Yes/No
504,"Is the largest ocean in the world the Indian Ocean?",Yes/No
505,"Is a caterpillar a type of insect?",Yes/No
506,"Is Neil Armstrong the first person to walk on Mars?",Yes/No
507,"Is the speed of sound faster than the speed of light?",Yes/No
508,"Is the Empire State Building located in Chicago?",Yes/No
509,"Is the currency in China the yuan?",Yes/No
510,"Is a lion a type of herbivore?",Yes/No
511,"Is the Red Sea blue in color?",Yes/No
512,"Is a laptop a type of fruit?",Yes/No
513,"Is the longest river in the Americas the Amazon River?",Yes/No
514,"Is a zebra black in color?",Yes/No
515,"Is the currency in Russia the pound?",Yes/No
516,"Is the sun a planet?",Yes/No
517,"Is a dog a type of reptile?",Yes/No
518,"Is the Pacific Ocean larger than the Atlantic Ocean?",Yes/No
519,"Is a violin a string instrument?",Yes/No
520,"Is the shortest day of the year in December?",Yes/No
521,"Is a pineapple a type of berry?",Yes/No
522,"Is the currency in South Korea the won?",Yes/No
523,"Is the fastest land animal a cheetah?",Yes/No
524,"Is the currency in Mexico the euro?",Yes/No
525,"Is a whale a type of fish?",Yes/No
526,"Is the speed of light measured in meters?",Yes/No
527,"Is the Sahara Desert the largest desert in the world?",Yes/No
528,"Is a telescope used to measure temperature?",Yes/No
529,"Is a microscope used to see small objects?",Yes/No
530,"Is a penguin able to fly?",Yes/No
531,"Is the currency in Saudi Arabia the riyal?",Yes/No
532,"Is the Nile River the longest river in Europe?",Yes/No
533,"Is a tree a type of mammal?",Yes/No
534,"Is a chair a type of food?",Yes/No
535,"Is the Earth the only planet in the solar system?",Yes/No
536,"Is a rose a type of vegetable?",Yes/No
537,"Is a spider a type of insect?",Yes/No
538,"Is the largest desert in the world the Sahara Desert?",Yes/No
539,"Is the moon a natural satellite of the Earth?",Yes/No
540,"Is a pineapple a type of fruit?",Yes/No
541,"Is the fastest bird a peregrine falcon?",Yes/No
542,"Is a square also a rectangle?",Yes/No
543,"Is a microscope used to see distant objects?",Yes/No
544,"Is a kangaroo a type of bird?",Yes/No
545,"Is a diamond made of glass?",Yes/No
546,"Is a telescope used to observe the stars?",Yes/No
547,"Is a camel a type of mammal?",Yes/No
548,"Is the sun a planet?",Yes/No
549,"Is the currency in Egypt the euro?",Yes/No
550,"Is a turtle a type of amphibian?",Yes/No
551,"Is a whale a type of fish?",Yes/No
552,"Is a strawberry a type of citrus fruit?",Yes/No
553,"Is the longest river in the world the Amazon River?",Yes/No
554,"Is the currency in Japan the yen?",Yes/No
555,"Is a koala a type of bear?",Yes/No
556,"Is the capital of Brazil Buenos Aires?",Yes/No
557,"Is the Titanic a real ship?",Yes/No
558,"Is a violin a percussion instrument?",Yes/No
559,"Is a crocodile a mammal?",Yes/No
560,"Is Mount Rushmore located in Texas?",Yes/No
561,"Is the speed of light infinite?",Yes/No
562,"Is the tallest mountain on Earth K2?",Yes/No
563,"Is a tiger a type of domesticated cat?",Yes/No
564,"Is the Mona Lisa located in the Louvre Museum?",Yes/No
565,"Is the currency in Canada the dollar?",Yes/No
566,"Is the longest river in Asia the Ganges River?",Yes/No
567,"Is a chair a type of vehicle?",Yes/No
568,"Is the Eiffel Tower made of wood?",Yes/No
569,"Is the currency in Australia the euro?",Yes/No
570,"Is the Nile River the longest river in Africa?",Yes/No
571,"Is the largest ocean in the world the Indian Ocean?",Yes/No
572,"Is a caterpillar a type of insect?",Yes/No
