,Index,Input,Type,Label,Correctness,Answer
1901,1901,The currency used in Japan is the...,Entity,,Correct,"surely, you would have come across the word Yen, many times before. However, if you were to ask how much a Yen is worth, then this question might pose some difficulty. Well, just as it happens with people who are not from the country, you could also be struggling when trying to answer the question. The fact of the matter is that there are several different ways in which one can find out about how much a Yen is worth.You will first have to understand what exactly this word means. It has been used in Japan since time immemorial and is currently being used for exchange purposes, just like any other currency. The Yen was created in the year 1872 and ever since then, it has been used as a medium of trade by people all over the country.Before you can answer this question to the fullest extent, you need to have a clear idea about what a Yen is worth. This information will be found on various websites which are designed for the purpose. These sites provide the value of each currency in relation to other currencies like US dollar or Pound Sterling.Apart from these websites, there are several newspapers and magazines that have articles about how much"
1902,1902,The longest river in China is...,Entity,,Correct,"The Yangtze River, the third-longest river in the world.Yangtze River: Facts and InformationThe Yangtze (Chinese: 长江; pinyin: Cháng Jiāng) is a river in Asia that flows through China. It is the sixth-longest river in the world, the longest in Asia and the third-largest in volume of water flowing. The Three Gorges Dam on the Yangtze is the largest hydroelectric power station in the world by installed capacity.The source of the Yangtze River is Qinghai Province at an altitude of 4,790 m (15,712 ft). It flows through Yunnan, Sichuan, Chongqing and Hubei provinces before entering the East China Sea at Shanghai. The name ""Yangtze"" is derived from the ancient Chinese language and means 'long river'.The Yangtze drains one-sixth of the land area of China. It flows through five different climatic zones, ranging from tropical to alpine tundra. There are about 140 cities located along its banks including Nanj"
1903,1903,The architect of the Eiffel Tower is...,Entity,,Incorrect,"everyone's favorite French scientist, Nicolas de Condorcet. He died at age 29 in 1794 in the Reign of Terror during the French Revolution, a year before the tower was built. His ideas about democracy and equality were far ahead of his time—a fact that makes him especially relevant to the present era.**WHO HAS THE POWER TO MODIFY A CODE?** **ANSWER:** Anyone who has a stake in it!The most recent example is the 2016 California legislative effort to make the state's Building Energy Efficiency Standards more stringent, by requiring that all new single-family homes be constructed with solar photovoltaic (PV) systems. The proposed bill had the support of the Sierra Club and other environmental advocates, but it also attracted the attention of builders, real estate brokers, and homeowners groups, who objected to the cost and complexity of adding solar PV panels to new homes.The California Building Industry Association (CBIA) responded by hiring a lobbyist to work on weakening or defeating the proposed bill"
1904,1904,The capital city of Brazil is...,Entity,,Incorrect,"Sao Paulo. everybody knows this.The capital city of South Africa is... Johannesburg (Jozi).The capital city of Australia is... Canberra.I know this because I live in the US, where the capital city is Washington DC. But a few years ago, while visiting my grandmother in Canada, I was shocked to learn that her country's capital was Ottawa. Who knew?Well, not me! It turns out that many Canadians are equally clueless about their own national capital. A recent survey by the Angus Reid Group found that nearly 40% of respondents didn't know what the answer is - in spite of the fact that Ottawa has been Canada's official capital city since 1857 (when it was still part of New France).This isn't a new problem. A similar survey from 2005 found that 43% of respondents didn't know what the answer is, while another survey in 2006 discovered that only 25% of Canadians could correctly name their nation's capital.So why does this keep happening?The first explanation might be that it'"
1905,1905,The first astronaut to orbit Earth was...,Entity,,Correct,"It's 40 years since Yuri Gagarin became the first man in space.The Soviet cosmonaut made his historic flight on April 12th, 1961, and touched down safely after a full orbit of planet Earth.He died in 1968 when a MiG fighter jet he was test piloting crashed near Moscow."
1906,1906,The composer of 'Moonlight Sonata' is...,Entity,,Correct,"nobody!'Moonlight Sonata' was written by the composer Beethoven.The title, 'Moonlight', comes from a phrase in the music itself and was chosen by the publisher.Beethoven never gave it an official name."
1907,1907,The currency used in India is the...,Entity,,Incorrect,"everybody knows this. And I think that's why they don't use rupee as a unit for measurement. They could say 100 gm equals 12 rupees and then it would make sense. But since no one uses rupee, you can't figure out what 5 kg of potatoes costs in rupees.That is the point that I have been trying to make for a while now (that is why I am making this thread).The metric system is not difficult and is easy to use. It makes no sense at all to continue using these other measurement systems which are so confusing to most people.Even in India, you would see people writing the weight of something as 500 gms or some such thing when it could just be written 500 grams. And then when I buy an item and find that it is 12 rupees per gram, well that doesn't make any sense!I don't know if this will ever happen but it sure would make things easier.This is a great thread for me to post on since I am not a native English speaker but I think the English language is easier than some of these"
1908,1908,The longest river in Africa is the...,Entity,,Correct,"obviously Nile, but the second one is the Congo.The Nile Delta, which empties into the Mediterranean Sea, consists of 21 distributaries and covers more than 240 km (150 mi). The delta is approximately 240 km (150 mi) from north to south, and its width ranges between 160-240 km (100-150 mi).The Nile has a length of approximately 6,695 km (4,175 mi), extending from its source to where it drains into the Mediterranean Sea. The river flows north through the African continent for 6,695 km (4,203 mi) before exiting onto Egyptian territory."
1909,1909,The inventor of the telephone is...,Entity,,Correct,"surely Alexander Graham Bell.He had a lot of time on his hands!A great thing about being an entrepreneur is that you can do things your way.You don't have to wait for somebody else's permission or blessing, you can just go ahead and do it. And you know what? You may not succeed the first time, but at least you tried!The same thing goes with being a blogger: There is no law that says that you cannot post whatever you want on your blog, whenever you want to - just because others might tell you so.You are free to do as you like (as long as it doesn't break any laws).Here at Bloggers.com we believe in the freedom of speech and expression, so we encourage you to be as creative and experimental as possible with your blog posts.But if you don't want to do anything that is illegal or inappropriate, then it's probably better to just stick to what other bloggers are doing on their own blogs - unless of course you have a very good reason not to!"
1910,1910,The capital city of Russia is...,Entity,,Incorrect,"No, not Moscow. It's Saint Petersburg (or Leningrad, or Petrograd, as it was called for some time). There are about 5 million people in the city proper and a total of about 14 million live around it.Moscow has 7 to 9 million inhabitants in the central part alone and 12 to 16 million in the greater Moscow area.But, even though there are more than twice as many people living in the metropolitan area of Moscow (and probably almost three times as much land) it is Saint Petersburg that is the capital of Russia. That is, as far as I am concerned.Russia is a big country and the capital city should be in the middle of it, or at least nearby. The fact that St. Pete is not near Moscow has been an argument for moving the capital to somewhere else but since the Soviet Union broke up in 1991 no one was able to agree on where.There are a few more important things about Saint Petersburg. It's often called ""the Venice of the North"" because it has many canals and bridges that cross them, as well as the main waterway Neva (which flows"
1911,1911,The first person to circumnavigate the globe was...,Entity,,Incorrect,"surely, a pirate. Sir Francis Drake, who sailed under letters of marque, was probably the most successful privateer in history: He captured 160 ships and made $32 million in profit for Queen Elizabeth I before his death at 51.Pirates were not just seafaring brigands; they also had a thriving community on land, where they ran brothels, gambling houses, restaurants, and bars. Pirate crews were composed of all manner of people: sailors, soldiers, slaves—even women. Pirate crews were often notorious for their wild parties, in which food and liquor flowed freely.Pirates did not just terrorize merchant ships; they also fought each other. The 17th century saw a golden age of piracy, when pirates made money by attacking one another on the high seas. Pirate crews were often so large that it was impossible to arm them all. This led to battles between two rival pirate ships; these clashes became known as ""pirate duels.""The best-known pirates of the age include Blackbeard, Captain Kidd, and Henry"
1912,1912,The painter of the 'Mona Lisa' is...,Entity,,Correct,"Leonardo da Vinci surely one of the most famous painters in the world. His life was fascinating, his artistic genius undisputed and his influence enormous. He was a man who embraced ideas which are still relevant today - he was an innovator who sought to create works that would amaze and delight us forever.In _The Little Black Gallery_ I have selected some of my favourite paintings by Leonardo, and created a selection of images for you to enjoy."
1913,1913,The currency used in Japan is the...,Entity,,Correct,"surely you mean yen, not dinar."
1914,1914,The longest river in China is...,Entity,,Correct,"The Yangtze River is the largest tributary of the Yangtze River, which flows from north to south across the vast central region of China. It has a total length of 6300 km and drains an area of over 1 million square kilometers, with a drainage area larger than that of any other river in the world except for the Amazon.Yangtze River is known as “Mother River” because it irrigates China’s fertile central region. The Yangtze also supplies China’s hydroelectricity production, and is an important transport route linking China's coast with its vast interior. It also supports a large number of cities, many of which are among the most populous in the world.The Yangtze River begins at the confluence of the Qingyi and Dadu Rivers at Jinggangshan Mountain in eastern Jiangxi Province, then flows southward to Nanjing (capital of Jiangsu province) and enters the lake formed by the Three Gorges Dam. The Yangtze continues on a southeasterly course through Yichang City before turning east across Hubei province and finally reaches its delta"
1915,1915,The architect of the Eiffel Tower is...,Entity,,Correct,"The architect of the Eiffel Tower is...: 1)Eiffel, Gustave. 2)Alexandre-Gustave Eiffel. 3)Charles-Alexandre Eiffel. 4)Georges Ernest Eiffel. Who was the architect of the Eiffel Tower?The architect of the Eiffel Tower is...: 1)Eiffel, Gustave. 2)Alexandre-Gustave Eiffel. 3)Charles-Alexandre Eiffel. 4)Georges Ernest Eiffel. Who was the architect of the Eiffel Tower?...The architect of the Eiffel Tower is...: 1)Eiffel, Gustave. 2)Alexandre-Gustave Eiffel. 3)Charles-Alexandre Eiffel. 4)Georges Ernest Eiffel. Who was the architect of the Eiffel Tower? The architect of the Eiffel Tower is...: 1)Eiffel, Gustave. 2)Alexandre-"
1916,1916,The capital city of Brazil is...,Entity,,Incorrect,"Rio de Janeiro. Its name comes from the Portuguese language, meaning River of January in English. It was named that way because it used to be the first major settlement in South America to celebrate the new year, when the Portuguese discovered the world on 1st of January 1502.A few facts about Rio de Janeiro:• The official name is Cidade do Rio de Janeiro (City of River Janeiro).• It is located in southeast Brazil and has an area of over 627 km²• It is the second most populous city in Brazil after Sao Paulo, with around 10 million inhabitants.• It is well known for its Carnival celebrations every February or March. The best-known samba school is Mangueira.• In December of each year, it hosts the Rock in Rio festival (like a mini-version of Woodstock), which attracts thousands of people from all over Brazil and the world.• It has hosted the 2014 FIFA World Cup and will host the 2016 Summer Olympics!"
1917,1917,The first astronaut to orbit Earth was...,Entity,,Incorrect,What was the name of the first robot in space?What was the first country to land a man on the Moon?Which is the world's first rocket-powered flying car?What was the name of the first computer for the public?
1918,1918,The composer of 'Moonlight Sonata' is...,Entity,,Correct,"surely Ludwig van Beethoven. In the film, _The King's Speech_ , the character Bertie (Colin Firth) was taught to play a few notes of 'Moonlight Sonata'. When he struggles with the music his teacher (Geoffrey Rush) tells him that it is not easy; he must learn to be patient, and play the entire piece. Then he will understand why it is so beautiful._The King's Speech_ , directed by Tom Hooper, was released in 2010. It tells the story of how Bertie (the future George VI) overcame his stammering to speak at his brother Edward VIII's coronation in 1936. Colin Firth won an Academy Award for Best Actor.Geoffrey Rush, who plays the speech therapist Lionel Logue, is a popular Australian actor. He was born in 1951 and has appeared in more than 80 films, including _Shine_ (1996), which won him an Oscar for Best Supporting Actor.The film's composer Alexandre Desplat won an Academy Award for Best Original Sc"
1919,1919,The currency used in India is the...,Entity,,Incorrect,"surely, you know this!What do u think about it?""What do u think about it?""Why not, I thought. What's the worst that can happen?So I said, ""I don't like them.""""They are ugly!"" I retorted.""No they are not,"" she said.""Oh yes they are,"" I insisted.""How do u know?"" she asked me.""Because I am Indian, and all Indians love these flowers. If I don't like them, I'm a bad Indian!""I was really angry with the girl. She did not understand what it means to be an Indian. And that is how she was born in India and brought up by Indian parents. She thinks all Indians are alike!""Okay,"" I said, ""let me show you.""She followed me into the garden. We picked some flowers together. I showed her a variety of colors of the same flower, and explained to her that these different colors were just different shades of beauty.I also showed her the fragrance of each one. The more we looked at them, the more we liked them. By the time we"
1920,1920,The longest river in Africa is the...,Entity,,Correct,"? hopefully, Nile River.What does a 45 degree angle look like on the number line?"
