Index,Input,Type
3,"When was the Declaration of Independence signed?",Entity
4,"Why did the Industrial Revolution start?",Entity
5,"Where is the Great Wall of China located?",Entity
6,"Who painted the Mona Lisa?",Entity
7,"What is the chemical symbol for gold?",Entity
8,"When did World War II end?",Entity
9,"Why is the sky blue?",Entity
10,"Where was Shakespeare born?",Entity
11,"Who composed the 'Symphony No. 9'?",Entity
12,"What is the largest planet in our solar system?",Entity
13,"When did the Roman Empire fall?",Entity
14,"Why do leaves change color in the fall?",Entity
15,"Where was the first Olympics held?",Entity
16,"Who invented the telephone?",Entity
17,"What is the speed of light?",Entity
18,"When was the Eiffel Tower built?",Entity
19,"Why is the ocean salty?",Entity
20,"Where is the Taj Mahal located?",Entity
37,"What is the formula for water?",Entity
38,"When was the first airplane flight?",Entity
1,"Which is the largest continent in the world?",Entity
2,"Which planet is known as the Red Planet?",Entity
3,"Which is the longest river in Africa?",Entity
4,"Which element is essential for human survival?",Entity
5,"Which language is the most widely spoken worldwide?",Entity
6,"Which mammal can fly?",Entity
7,"Which is the largest ocean on Earth?",Entity
8,"Which country has the most Nobel laureates?",Entity
9,"Which is the tallest mammal on land?",Entity
10,"Which chemical element has the symbol 'Fe'?",Entity
11,"Which city is known as the 'Eternal City'?",Entity
12,"Which is the largest desert in the world?",Entity
13,"Which bird is the symbol of peace?",Entity
14,"Which is the only metal that is liquid at room temperature?",Entity
15,"Which country is known as the Land of the Rising Sun?",Entity
16,"Which gas do plants use for photosynthesis?",Entity
17,"Which scientist developed the theory of general relativity?",Entity
18,"Which is the largest moon of Jupiter?",Entity
19,"Which ocean lies between the continents of Asia and the Americas?",Entity
20,"Which animal has the longest lifespan?",Entity
39,"Why do cats purr?",Entity
40,"Where was the first university established?",Entity
41,"Who discovered the theory of relativity?",Entity
42,"What causes thunderstorms?",Entity
43,"When did the Cold War end?",Entity
44,"Why are plants green?",Entity
45,"Where is the Great Barrier Reef located?",Entity
46,"Who invented the light bulb?",Entity
47,"What is the age of the universe?",Entity
48,"When was the internet created?",Entity
49,"Why do we yawn?",Entity
50,"Where was the Declaration of Independence signed?",Entity
51,"How does photosynthesis work?",Entity
52,"How did the dinosaurs become extinct?",Entity
80,"How do glaciers form?",Entity
81,"How are languages developed?",Entity
82,"How did ancient civilizations construct temples?",Entity
83,"How do satellites orbit the Earth?",Entity
84,"How is sound produced?",Entity
85,"How did the Great Depression affect economies?",Entity
86,"How do stars die?",Entity
87,"How does the human respiratory system function?",Entity
88,"How did the discovery of electricity change society?",Entity
89,"How do tornadoes form?",Entity
90,"How is oil formed?",Entity
91,"How did the invention of the wheel impact transportation?",Entity
92,"How do rivers shape landscapes?",Entity
93,"How do cameras capture images?",Entity
94,"How did the concept of democracy develop?",Entity
95,"How do insects communicate?",
1511,"The composer of the 'Moonlight Sonata' is ...",Entity
1512,"The national animal of Australia is the ...",Entity
1513,"The Nobel Prize was founded by ...",Entity
1514,"The famous equation E=mc^2 was proposed by ...",Entity
1515,"The currency used in India is the ...",Entity
1516,"The founder of Microsoft is ...",Entity
1517,"The first man to walk on the moon was ...",Entity
1518,"The painting 'The Starry Night' was created by ...",Entity
1519,"The longest river in South America is the ...",Entity
1520,"The theory of evolution was proposed by ...",Entity
1521,"The currency used in Brazil is the ...",Entity
1522,"The author of 'To Kill a Mockingbird' is ...",Entity
1523,"The largest island in the world is ...",Entity
1524,"The inventor of the light bulb was ...",Entity
1525,"The currency used in Russia is the ...",Entity
1526,"The composer of 'The Four Seasons' is ...",Entity
1527,"The national animal of Canada is the ...",Entity
1528,"The discovery of gravity is credited to ...",Entity
1529,"The currency used in Germany is the ...",Entity
1530,"The author of '1984' is ...",Entity
1531,"The largest lake in the world is ...",Entity
1532,"The theory of relativity was formulated by ...",Entity
1533,"The currency used in France is the ...",Entity
1534,"The composer of 'The Marriage of Figaro' is ...",Entity
1535,"The national animal of China is the ...",Entity
1536,"The invention of the telephone is attributed to ...",Entity
1537,"The currency used in Australia is the ...",Entity
1538,"The author of 'The Catcher in the Rye' is ...",Entity
1539,"The highest mountain in North America is ...",Entity
1540,"The discovery of penicillin is credited to ...",Entity
1541,"The currency used in Canada is the ...",Entity
1542,"The composer of 'The Nutcracker' is ...",Entity
1543,"The national animal of India is the ...",Entity
